wallet_address,points
0x232341E61587D797EED309985804Bf01CDa966E7,3536.5
0x3054e1986fe5faa920CFae137f711f66F82cDE07,3518.9
0xC84AEAFF3dCa1c8F90CF1AEEcEf6439E36a6128F,3440
0xf2c440c17F30e7eBeb1fD4d0CBC1f415877526Aa,3400
0xA2d9d10aceCE8512a99A3048C88fa274Ba59E2CF,3360
0x86527921274E237b2cc73477027418d8FCb2CB54,3355.5
0x9f271e88Ed7C0366BCa13c79b8BD45a6c822FE46,3320
0x3F3532d0dA205E69C79c05F18352C528d1a5C05D,3309
0x0C0B2869069458B5cE5D9B126685fA81045242c6,3290
0x15a71C72d0496b68b3Bb601734FF68B3bA60905E,3290
0x51c54Ed18D59Fc474C2701da0f3D4A517C8Ca6A8,3290
0x70192f26B7CB547Bbadd4aFC92f91A620ae0c95c,3290
0x9970Da5443c675ecd30d7ED3662A461D18FbdeD9,3290
0xB1e94A6BE3bE7a2c28e9Bbafec034771193cA820,3290
0xbe24E7FD5c388E19fd44A6ac0E261D4F7E33503c,3290
0xb6d3928BBf35339416eB4220Bd3657b2Fd74Eb63,3272
0xE85d9f015059d84be85f63e648Cf8Cd24C90f45F,3250
0x442745d1bfaff4715aF21cdb45857bBB9e3184B4,3231
0xE0BBA9ef3bD7FB5E875Ec21F72ED5E021F68195d,3184
0x5e7DbB835DEcD32bD1F265F3caA0444982D0Ec3E,3178
0xFc0C2df02B1616B05c22B3044C582C4150cfD3a9,3164
0x0786A24145Fef2c60A38237e8671332899cE7C1F,3155
0xF915A8c440566de91DF1797615E99D45dAC9D6ab,3120
0x3185b473918ac7f6BF13400489CD696d45f1Ec18,3080
0x125DaDB11BB7d0C6e947bDC67292dE4d032A30a5,3065
0x0E21A9cb59a5D0589aDb0C38Ca4ec2cA972d783D,3059
0xf6859b630d2bb479ffCa36F94Ef13D573cBE7A9A,3059
0x6edcdeA732D9F120B9367469585d6F91722481A2,3007.5
0xecCE99b4b41a8b27dC280cFB2ee5a55ebCB861Ba,2900
0xDa0a4a7b33D99fa767fba10035Bb0A58EF6d5a1b,2895
0x1F774fF4d68821199C6b865A2D401222b66C3C63,2890
0x21405d35B8D4FBB2bba1d7c0255aad8972cE76fa,2854
0x1DB9423863DFf8bfb9C380F8cc4d88d6F4b9c51f,2840
0x529f786B6cc026Ce88EE866a0De859283c216E50,2825
0x014ea29BA612D3Fd4De574Ea7Ee7e2f9893930E0,2808
0xBB36493F48455761F450337B65645Da336619FFc,2805
0xc643C4Be4d353a3952c57038685180074c3BdD7b,2773
0x1E0FC513330e2f42B612BB793d3BF67A2847E43e,2770
0x644e420066Bc23683AB77bA8250079C5BCD4dCa7,2766
0x5D5030EFC14b0CA0F86fBEf7CB8B3eFdAdda6E99,2760
0xe0911388972F722e619f0A47063887CaE7514f2D,2747
0xC49a7D4f6DB416011530d5a047Db26B036c51328,2744
0xA33851699bD835BCEd094Fc09a0b042dB25ACe1a,2719
0x959781E7004C1EF85517916425A429D203BdA95f,2705
0xDF983A1266369D4437b4ECA7c7B743aE1996A526,2697
0x911e380677311cCc28568bFbB3D5f5B3efccF84a,2694
0x3D635c7E8545710535544E816c54f82deB3BDDb3,2666
0x053696D57C1F74D898b12f005d3F55874eC9D6Da,2640
0x163819612F2177b0C09900D8968Fec8F6222d29C,2601
0x2b3cF70D77052Cc4e352d6ebF9CE887B225413f9,2601
0x69C1BCeD76097338baCC6a17F1194a143B185681,2595.5
0x6f99D20127dbe42d7CDaDb5c5403eCc03E095cB6,2590
0xA1327498C64FBcB1fef5A54DFaca8b3c760e7c22,2581
0xBe5fc91D77E90F2aF6Dfb6661E40D368D76B29Fc,2569
0x48ed58f5CEcb24004EcAE446c0bEcb42a5Abe2D0,2485
0x8AADc9cCA56452F148FcA74393cb4BA2aC8BeBC7,2455
0x352D932dBBD551b137e92F88ACe386513dD614C9,2424
0x928E8b34e4585f259cD645C5b7E45Cec5aDdB845,2407
0x26c871Fd72511926B6e092038eE80b5C0da969aE,2345
0x6A90b0f458c45A6ccB805455FE1d3A69c93A18Ec,2324
0x4f4BB7f63af4c9567dCEB4FB44A87E237D2849F9,2320
0xaaE6a3D2534554bF8B4400839e9f14C92EdD40d9,2294.9
0x907a2e97560d4Cb5b0ADe80633388F7eAAcD52Ca,2287
0x1C670dc214de4819730e7305703ec8C986B8C7fc,2286
0x5451cED532A9A622A4d7A057a8774f6AFe421eaB,2215
0xDB94499A6fF41E4ed7850C13b4CA2dCAb3D40075,2202
0xbA10fD13Bd6F0E38d2531659e28e14FB3C3A64E3,2165
0x9046F76AD22f913BbCF95A73336C569e1ac2e59a,2164
0x161Cf4e3BdfccF3aEc8BBC2D19e18428B7035427,2156
0x4beAB744D2Dc251dc60fe1f10dF6A34E2097E637,2134
0xB1D847dfEf818EDa6133Fe2389161F7898AE67Cc,2134
0xaA303F99d41f8483EC8357d8FA75Dd990040015c,2125
0x0c0c0f538C1D869a9682D94d26fb973f1a8c192e,2124.5
0x726B7882E99cF99f06949311D44cd818b617Db8F,2103
0xfAc4C7B47EF570029A8EaD7AF45E763E52A4A2a3,2095
0x85a55805A948e0DD6E680ef4FE110Fc64825b303,2087
